iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063010
2,192.168.0.4,sw0p4,sw0p4.cfg,0,0.069793
3,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063286
4,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065289
5,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062995
6,192.168.0.4,sw0p4,sw0p4.cfg,0,0.069471
7,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063043
8,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063834
9,192.168.0.4,sw0p4,sw0p4.cfg,0,0.078838
10,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063543
11,192.168.0.4,sw0p4,sw0p4.cfg,0,0.072411
12,192.168.0.4,sw0p4,sw0p4.cfg,0,0.067510
13,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062936
14,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064612
15,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062464
16,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062701
17,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064861
18,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062828
19,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064045
20,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065002
21,192.168.0.4,sw0p4,sw0p4.cfg,0,0.070304
22,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063279
23,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064804
24,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065889
25,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062828
26,192.168.0.4,sw0p4,sw0p4.cfg,0,0.071146
27,192.168.0.4,sw0p4,sw0p4.cfg,0,0.077001
28,192.168.0.4,sw0p4,sw0p4.cfg,0,0.074222
29,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062776
30,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064197
31,192.168.0.4,sw0p4,sw0p4.cfg,0,0.072424
32,192.168.0.4,sw0p4,sw0p4.cfg,0,0.069595
33,192.168.0.4,sw0p4,sw0p4.cfg,0,0.061456
34,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063048
35,192.168.0.4,sw0p4,sw0p4.cfg,0,0.068253
36,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063178
37,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063461
38,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065327
39,192.168.0.4,sw0p4,sw0p4.cfg,0,0.070721
40,192.168.0.4,sw0p4,sw0p4.cfg,0,0.068808
41,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064109
42,192.168.0.4,sw0p4,sw0p4.cfg,0,0.069273
43,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064686
44,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064062
45,192.168.0.4,sw0p4,sw0p4.cfg,0,0.083892
46,192.168.0.4,sw0p4,sw0p4.cfg,0,0.076180
47,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065049
48,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063451
49,192.168.0.4,sw0p4,sw0p4.cfg,0,0.068911
50,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066365
51,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062857
52,192.168.0.4,sw0p4,sw0p4.cfg,0,0.070828
53,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063595
54,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062364
55,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064085
56,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063771
57,192.168.0.4,sw0p4,sw0p4.cfg,0,0.067387
58,192.168.0.4,sw0p4,sw0p4.cfg,0,0.083833
59,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062977
60,192.168.0.4,sw0p4,sw0p4.cfg,0,0.072579
61,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065219
62,192.168.0.4,sw0p4,sw0p4.cfg,0,0.070310
63,192.168.0.4,sw0p4,sw0p4.cfg,0,0.068437
64,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064306
65,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063670
66,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062418
67,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062293
68,192.168.0.4,sw0p4,sw0p4.cfg,0,0.088659
69,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064619
70,192.168.0.4,sw0p4,sw0p4.cfg,0,0.068460
71,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064700
72,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063307
73,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062387
74,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066426
75,192.168.0.4,sw0p4,sw0p4.cfg,0,0.075005
76,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064307
77,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063995
78,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062775
79,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063648
80,192.168.0.4,sw0p4,sw0p4.cfg,0,0.084782
81,192.168.0.4,sw0p4,sw0p4.cfg,0,0.080330
82,192.168.0.4,sw0p4,sw0p4.cfg,0,0.089335
83,192.168.0.4,sw0p4,sw0p4.cfg,0,0.075892
84,192.168.0.4,sw0p4,sw0p4.cfg,0,0.074957
85,192.168.0.4,sw0p4,sw0p4.cfg,0,0.097206
86,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065625
87,192.168.0.4,sw0p4,sw0p4.cfg,0,0.078084
88,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065363
89,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065704
90,192.168.0.4,sw0p4,sw0p4.cfg,0,0.087499
91,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066619
92,192.168.0.4,sw0p4,sw0p4.cfg,0,0.089157
93,192.168.0.4,sw0p4,sw0p4.cfg,0,0.073838
94,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063585
95,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063699
96,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064046
97,192.168.0.4,sw0p4,sw0p4.cfg,0,0.080255
98,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063566
99,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063841
