iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063024
2,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063692
3,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063569
4,192.168.0.2,sw0p2,sw0p2.cfg,0,0.070614
5,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062800
6,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063352
7,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063167
8,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064436
9,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064504
10,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063467
11,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063024
12,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064185
13,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062878
14,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063628
15,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064880
16,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062651
17,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064574
18,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063703
19,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063364
20,192.168.0.2,sw0p2,sw0p2.cfg,0,0.067394
21,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062930
22,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062756
23,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063966
24,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063478
25,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063040
26,192.168.0.2,sw0p2,sw0p2.cfg,0,0.068438
27,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062747
28,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063047
29,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063582
30,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062817
31,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063282
32,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064721
33,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064311
34,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063709
35,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062706
36,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062565
37,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062556
38,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063345
39,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063476
40,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062749
41,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063080
42,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062387
43,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062514
44,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062782
45,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063575
46,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063768
47,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063054
48,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063765
49,192.168.0.2,sw0p2,sw0p2.cfg,0,0.069989
50,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063804
51,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062935
52,192.168.0.2,sw0p2,sw0p2.cfg,0,0.066693
53,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062922
54,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063099
55,192.168.0.2,sw0p2,sw0p2.cfg,0,0.068102
56,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063123
57,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062243
58,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063273
59,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063496
60,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062484
61,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063031
62,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063014
63,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062898
64,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063343
65,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063671
66,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062599
67,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063454
68,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062939
69,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063152
70,192.168.0.2,sw0p2,sw0p2.cfg,0,0.064990
71,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063379
72,192.168.0.2,sw0p2,sw0p2.cfg,0,0.071318
73,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063454
74,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063867
75,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063461
76,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062743
77,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062863
78,192.168.0.2,sw0p2,sw0p2.cfg,0,0.069591
79,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063980
80,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063606
81,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062894
82,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062706
83,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063399
84,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063914
85,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063350
86,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063090
87,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063494
88,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063023
89,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063174
90,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063684
91,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062944
92,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063770
93,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063674
94,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062816
95,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063649
96,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062847
97,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063780
98,192.168.0.2,sw0p2,sw0p2.cfg,0,0.062563
99,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063271
100,192.168.0.2,sw0p2,sw0p2.cfg,0,0.063288
