iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.1,sw0p2,sw0p2.cfg,0,0.139960
2,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063182
3,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062740
4,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063756
5,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062889
6,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062820
7,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063835
8,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063471
9,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063366
10,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063695
11,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063590
12,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063516
13,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062574
14,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063324
15,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066243
16,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068108
17,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069679
18,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068989
19,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068150
20,192.168.0.1,sw0p2,sw0p2.cfg,0,0.070216
21,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069203
22,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068878
23,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069528
24,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068400
25,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066462
26,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068694
27,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068696
28,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066010
29,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063228
30,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063500
31,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063319
32,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063688
33,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063231
34,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063056
35,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063845
36,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063681
37,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064020
38,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064709
39,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064310
40,192.168.0.1,sw0p2,sw0p2.cfg,0,0.065403
41,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063637
42,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064518
43,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064217
44,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063300
45,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063901
46,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063668
47,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064518
48,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064749
49,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063960
50,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063723
51,192.168.0.1,sw0p2,sw0p2.cfg,0,0.075492
52,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063577
53,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063918
54,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063900
55,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064501
56,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066184
57,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063914
58,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064194
59,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064614
60,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063937
